open	line	action
none	blank	single:gap
none	fence	start:code
none	heading	single:heading
none	rule	single:rule
none	item	start:item
none	quote	start:quote
none	table	start:table
none	text	start:para
para	blank	single:gap
para	fence	start:code
para	heading	single:heading
para	rule	single:rule
para	item	start:item
para	quote	start:quote
para	table	start:table
para	text	append
item	blank	single:gap
item	fence	start:code
item	heading	single:heading
item	rule	single:rule
item	item	start:item
item	quote	start:quote
item	table	start:table
item	text	append
quote	blank	single:gap
quote	fence	start:code
quote	heading	single:heading
quote	rule	single:rule
quote	item	start:item
quote	quote	append
quote	table	start:table
quote	text	append
table	blank	single:gap
table	fence	start:code
table	heading	single:heading
table	rule	single:rule
table	item	start:item
table	quote	start:quote
table	table	append
table	text	start:para
fence	blank	append
fence	fence	append_close
fence	heading	append
fence	rule	append
fence	item	append
fence	quote	append
fence	table	append
fence	text	append
