phase	user	reply	failed	event	phase'	user'	reply'	failed'
idle	none	absent	0	submit	sending	sending	absent	0
idle	none	absent	0	delivered	idle	none	absent	0
idle	none	absent	0	cli:thinking	idle	none	absent	0
idle	none	absent	0	cli:text	idle	none	absent	0
idle	none	absent	0	cli:tool_start	idle	none	absent	0
idle	none	absent	0	cli:tool_end	idle	none	absent	0
idle	none	absent	0	cli:approval	idle	none	absent	0
idle	none	absent	0	cli:info	idle	none	absent	0
idle	none	absent	0	cli:error	idle	none	absent	0
idle	none	absent	0	cli:turn_end_ok	idle	none	absent	0
idle	none	absent	0	cli:turn_end_fail	idle	none	absent	0
idle	none	absent	0	finish:saved	idle	none	absent	0
idle	none	absent	0	finish:saved_failed	idle	none	absent	0
idle	none	absent	0	finish:unconfirmed	idle	none	absent	0
idle	none	absent	0	finish:discarded	idle	none	absent	0
idle	none	absent	1	submit	sending	sending	absent	0
idle	none	absent	1	delivered	idle	none	absent	1
idle	none	absent	1	cli:thinking	idle	none	absent	1
idle	none	absent	1	cli:text	idle	none	absent	1
idle	none	absent	1	cli:tool_start	idle	none	absent	1
idle	none	absent	1	cli:tool_end	idle	none	absent	1
idle	none	absent	1	cli:approval	idle	none	absent	1
idle	none	absent	1	cli:info	idle	none	absent	1
idle	none	absent	1	cli:error	idle	none	absent	1
idle	none	absent	1	cli:turn_end_ok	idle	none	absent	1
idle	none	absent	1	cli:turn_end_fail	idle	none	absent	1
idle	none	absent	1	finish:saved	idle	none	absent	1
idle	none	absent	1	finish:saved_failed	idle	none	absent	1
idle	none	absent	1	finish:unconfirmed	idle	none	absent	1
idle	none	absent	1	finish:discarded	idle	none	absent	1
idle	none	done	0	submit	sending	sending	absent	0
idle	none	done	0	delivered	idle	none	done	0
idle	none	done	0	cli:thinking	idle	none	done	0
idle	none	done	0	cli:text	idle	none	done	0
idle	none	done	0	cli:tool_start	idle	none	done	0
idle	none	done	0	cli:tool_end	idle	none	done	0
idle	none	done	0	cli:approval	idle	none	done	0
idle	none	done	0	cli:info	idle	none	done	0
idle	none	done	0	cli:error	idle	none	done	0
idle	none	done	0	cli:turn_end_ok	idle	none	done	0
idle	none	done	0	cli:turn_end_fail	idle	none	done	0
idle	none	done	0	finish:saved	idle	none	done	0
idle	none	done	0	finish:saved_failed	idle	none	done	0
idle	none	done	0	finish:unconfirmed	idle	none	done	0
idle	none	done	0	finish:discarded	idle	none	done	0
idle	none	done	1	submit	sending	sending	absent	0
idle	none	done	1	delivered	idle	none	done	1
idle	none	done	1	cli:thinking	idle	none	done	1
idle	none	done	1	cli:text	idle	none	done	1
idle	none	done	1	cli:tool_start	idle	none	done	1
idle	none	done	1	cli:tool_end	idle	none	done	1
idle	none	done	1	cli:approval	idle	none	done	1
idle	none	done	1	cli:info	idle	none	done	1
idle	none	done	1	cli:error	idle	none	done	1
idle	none	done	1	cli:turn_end_ok	idle	none	done	1
idle	none	done	1	cli:turn_end_fail	idle	none	done	1
idle	none	done	1	finish:saved	idle	none	done	1
idle	none	done	1	finish:saved_failed	idle	none	done	1
idle	none	done	1	finish:unconfirmed	idle	none	done	1
idle	none	done	1	finish:discarded	idle	none	done	1
idle	none	stopped	0	submit	sending	sending	absent	0
idle	none	stopped	0	delivered	idle	none	stopped	0
idle	none	stopped	0	cli:thinking	idle	none	stopped	0
idle	none	stopped	0	cli:text	idle	none	stopped	0
idle	none	stopped	0	cli:tool_start	idle	none	stopped	0
idle	none	stopped	0	cli:tool_end	idle	none	stopped	0
idle	none	stopped	0	cli:approval	idle	none	stopped	0
