kind	state	label
phase	idle	
phase	sending	Sending to tny…
phase	waiting	Waiting for the model…
phase	thinking	Thinking…
phase	writing	Writing…
phase	tool	Running a tool…
phase	approval	Approval requested · unattended CLI policy applies
phase	saving	Saving…
user	none	
user	sending	Sending…
user	sent	Sent
user	saved	
user	unconfirmed	Unconfirmed · inspect saved session
user	discarded	
reply	absent	
reply	streaming	Streaming…
reply	done	
reply	stopped	Stopped before finishing
reply	incomplete	Incomplete · the stream ended early
