cwd	index	list	session	busy	event	cwd'	index'	list'	session'	busy'
A	-	-	-	0	change:A:0	A	-	-	-	0
A	-	-	-	0	change:A:1	A	-	-	-	0
A	-	-	-	0	change:B:0	A	-	-	-	0
A	-	-	-	0	change:B:1	B	-	-	-	0
A	-	-	-	0	index:A	A	A	-	-	0
A	-	-	-	0	index:B	A	-	-	-	0
A	-	-	-	0	list:A	A	-	A	-	0
A	-	-	-	0	list:B	A	-	-	-	0
A	-	-	-	0	select	A	-	-	-	0
A	-	-	-	0	submit	A	-	-	-	1
A	-	-	-	0	finish	A	-	-	-	0
A	-	-	-	0	new_chat	A	-	-	-	0
A	-	-	-	1	change:A:0	A	-	-	-	1
A	-	-	-	1	change:A:1	A	-	-	-	1
A	-	-	-	1	change:B:0	A	-	-	-	1
A	-	-	-	1	change:B:1	A	-	-	-	1
A	-	-	-	1	index:A	A	A	-	-	1
A	-	-	-	1	index:B	A	-	-	-	1
A	-	-	-	1	list:A	A	-	A	-	1
A	-	-	-	1	list:B	A	-	-	-	1
A	-	-	-	1	select	A	-	-	-	1
A	-	-	-	1	submit	A	-	-	-	1
A	-	-	-	1	finish	A	-	-	A	0
A	-	-	-	1	new_chat	A	-	-	-	1
A	-	-	A	0	change:A:0	A	-	-	A	0
A	-	-	A	0	change:A:1	A	-	-	-	0
A	-	-	A	0	change:B:0	A	-	-	A	0
A	-	-	A	0	change:B:1	B	-	-	-	0
A	-	-	A	0	index:A	A	A	-	A	0
A	-	-	A	0	index:B	A	-	-	A	0
A	-	-	A	0	list:A	A	-	A	A	0
A	-	-	A	0	list:B	A	-	-	A	0
A	-	-	A	0	select	A	-	-	A	0
A	-	-	A	0	submit	A	-	-	A	1
A	-	-	A	0	finish	A	-	-	A	0
A	-	-	A	0	new_chat	A	-	-	-	0
A	-	-	A	1	change:A:0	A	-	-	A	1
A	-	-	A	1	change:A:1	A	-	-	A	1
A	-	-	A	1	change:B:0	A	-	-	A	1
A	-	-	A	1	change:B:1	A	-	-	A	1
A	-	-	A	1	index:A	A	A	-	A	1
A	-	-	A	1	index:B	A	-	-	A	1
A	-	-	A	1	list:A	A	-	A	A	1
A	-	-	A	1	list:B	A	-	-	A	1
A	-	-	A	1	select	A	-	-	A	1
A	-	-	A	1	submit	A	-	-	A	1
A	-	-	A	1	finish	A	-	-	A	0
A	-	-	A	1	new_chat	A	-	-	A	1
A	-	A	-	0	change:A:0	A	-	A	-	0
A	-	A	-	0	change:A:1	A	-	-	-	0
A	-	A	-	0	change:B:0	A	-	A	-	0
A	-	A	-	0	change:B:1	B	-	-	-	0
A	-	A	-	0	index:A	A	A	A	-	0
A	-	A	-	0	index:B	A	-	A	-	0
A	-	A	-	0	list:A	A	-	A	-	0
A	-	A	-	0	list:B	A	-	A	-	0
A	-	A	-	0	select	A	-	A	A	0
A	-	A	-	0	submit	A	-	A	-	1
A	-	A	-	0	finish	A	-	A	-	0
A	-	A	-	0	new_chat	A	-	A	-	0
A	-	A	-	1	change:A:0	A	-	A	-	1
A	-	A	-	1	change:A:1	A	-	A	-	1
A	-	A	-	1	change:B:0	A	-	A	-	1
A	-	A	-	1	change:B:1	A	-	A	-	1
A	-	A	-	1	index:A	A	A	A	-	1
A	-	A	-	1	index:B	A	-	A	-	1
A	-	A	-	1	list:A	A	-	A	-	1
A	-	A	-	1	list:B	A	-	A	-	1
A	-	A	-	1	select	A	-	A	-	1
A	-	A	-	1	submit	A	-	A	-	1
A	-	A	-	1	finish	A	-	A	A	0
A	-	A	-	1	new_chat	A	-	A	-	1
A	-	A	A	0	change:A:0	A	-	A	A	0
A	-	A	A	0	change:A:1	A	-	-	-	0
A	-	A	A	0	change:B:0	A	-	A	A	0
A	-	A	A	0	change:B:1	B	-	-	-	0
A	-	A	A	0	index:A	A	A	A	A	0
A	-	A	A	0	index:B	A	-	A	A	0
A	-	A	A	0	list:A	A	-	A	A	0
A	-	A	A	0	list:B	A	-	A	A	0
A	-	A	A	0	select	A	-	A	A	0
A	-	A	A	0	submit	A	-	A	A	1
A	-	A	A	0	finish	A	-	A	A	0
A	-	A	A	0	new_chat	A	-	A	-	0
A	-	A	A	1	change:A:0	A	-	A	A	1
A	-	A	A	1	change:A:1	A	-	A	A	1
A	-	A	A	1	change:B:0	A	-	A	A	1
A	-	A	A	1	change:B:1	A	-	A	A	1
A	-	A	A	1	index:A	A	A	A	A	1
A	-	A	A	1	index:B	A	-	A	A	1
A	-	A	A	1	list:A	A	-	A	A	1
A	-	A	A	1	list:B	A	-	A	A	1
A	-	A	A	1	select	A	-	A	A	1
A	-	A	A	1	submit	A	-	A	A	1
A	-	A	A	1	finish	A	-	A	A	0
A	-	A	A	1	new_chat	A	-	A	A	1
A	A	-	-	0	change:A:0	A	A	-	-	0
A	A	-	-	0	change:A:1	A	-	-	-	0
A	A	-	-	0	change:B:0	A	A	-	-	0
A	A	-	-	0	change:B:1	B	-	-	-	0
A	A	-	-	0	index:A	A	A	-	-	0
A	A	-	-	0	index:B	A	A	-	-	0
A	A	-	-	0	list:A	A	A	A	-	0
A	A	-	-	0	list:B	A	A	-	-	0
A	A	-	-	0	select	A	A	-	-	0
A	A	-	-	0	submit	A	A	-	-	1
A	A	-	-	0	finish	A	A	-	-	0
A	A	-	-	0	new_chat	A	A	-	-	0
A	A	-	-	1	change:A:0	A	A	-	-	1
A	A	-	-	1	change:A:1	A	A	-	-	1
A	A	-	-	1	change:B:0	A	A	-	-	1
A	A	-	-	1	change:B:1	A	A	-	-	1
